Domain,Lipid,Median_Count,Scaled_Median_Count
TM2,CDL2,5.0,1.0
TM2,POPE,53.0,10.6
TM2,POPG,6.0,1.2
TM1,CDL2,17.0,4.25
TM1,POPE,119.0,29.75
TM1,POPG,36.0,9.0
NBD,CDL2,4.0,4.0
NBD,POPE,34.0,34.0
NBD,POPG,9.0,9.0
