Band Distance,Enrichment_Score
6.425000000000001,1.4404129176195744
13.275,1.3229507085900074
20.125,1.0505253704277733
26.975,0.9605852946128184
33.825,0.8965676739013385
40.675,0.8787749621166063
47.525000000000006,0.887738729753307
54.375,0.8533587399026759
61.22500000000001,0.8268449497177618
68.075,0.8406223385439806
74.92500000000001,0.8388238650413002
81.775,0.8091765845319174
88.625,0.7845406077124747
95.47500000000001,0.8054712032181526
102.32500000000002,0.7689686352199416
109.17500000000001,0.668065189859288
116.025,0.44975026336365387
