Band Distance,Enrichment_Score
6.425000000000001,0.7543300869235923
13.275,0.8327890561904141
20.125,0.8330929689635358
26.975,0.939868593870193
33.825,1.0345861865700583
40.675,1.0953965226922366
47.525000000000006,1.1547945037511367
54.375,1.2141959624499
61.22500000000001,1.251357080292303
68.075,1.2385462138680685
74.92500000000001,1.2451671239139444
81.775,1.241232230882048
88.625,1.2344734893690128
95.47500000000001,1.2224081045297563
102.32500000000002,1.205142776348261
109.17500000000001,1.274243203207425
116.025,1.4438768753460478
