Domain,Lipid,Median_Count,Scaled_Median_Count
TM1,CDL2,8.0,2.6666666666666665
TM1,POPE,58.0,19.333333333333332
TM1,POPG,21.0,7.0
TM2,CDL2,8.0,1.1428571428571428
TM2,POPE,81.0,11.571428571428571
TM2,POPG,39.0,5.571428571428571
NBD,CDL2,2.0,2.0
NBD,POPE,32.0,32.0
NBD,POPG,11.0,11.0
