Domain,Lipid,Median_Count,Scaled_Median_Count
Chain A TM2,CDL2,10.5,1.5
Chain A TM2,POPE,38.0,5.428571428571429
Chain A TM2,POPG,11.0,1.5714285714285714
Chain B TM2,CDL2,6.0,0.8571428571428571
Chain B TM2,POPE,40.0,5.714285714285714
Chain B TM2,POPG,18.0,2.5714285714285716
Chain A TM1,CDL2,11.5,2.875
Chain A TM1,POPE,52.0,13.0
Chain A TM1,POPG,18.0,4.5
Chain B TM1,CDL2,16.0,4.0
Chain B TM1,POPE,52.0,13.0
Chain B TM1,POPG,22.0,5.5
Chain A NBD,CDL2,4.0,4.0
Chain A NBD,POPE,15.0,15.0
Chain A NBD,POPG,4.0,4.0
Chain B NBD,CDL2,0.0,0.0
Chain B NBD,POPE,18.0,18.0
Chain B NBD,POPG,6.0,6.0
