Band Distance,Enrichment_Score
6.425000000000001,1.0290906590332125
13.275,0.9908293166008754
20.125,1.113757431334492
26.975,1.0327791122602599
33.825,1.0179521544201884
40.675,1.150738996620293
47.525000000000006,1.0816001038304175
54.375,1.0295833282296938
61.22500000000001,1.0069580719522198
68.075,0.9894697637774091
74.92500000000001,0.9543221482251947
81.775,0.9570029628808803
88.625,0.96321230291326
95.47500000000001,0.974911927314727
102.32500000000002,1.000371137017187
109.17500000000001,1.0670589192229853
116.025,1.4756941265612982
