Mean Distance,Time (ns)
32.83301973054665,0.0
32.914979652594354,0.075
33.40865108682578,0.15
32.97972035783118,0.22499999999999998
33.46321634649501,0.3
33.41244109326321,0.375
32.47470363932744,0.44999999999999996
32.754765857239846,0.525
32.84456364876878,0.6
33.091900508902,0.6749999999999999
33.41769667424037,0.75
32.955980475652694,0.825
32.51763200764795,0.8999999999999999
33.03186443669807,0.975
33.41165837503051,1.05
33.35583582110071,1.125
32.52482375908528,1.2
32.47129682051077,1.275
33.367185771722994,1.3499999999999999
33.52166226670081,1.425
32.97931396186413,1.5
33.00086977473673,1.575
32.97466105248815,1.65
32.922174574809844,1.7249999999999999
31.82984053231383,1.7999999999999998
33.13604050676302,1.875
32.30262071760237,1.95
32.59009984548058,2.025
32.22390867946508,2.1
32.735697004606244,2.175
31.88611518744382,2.25
32.63470536432214,2.3249999999999997
32.13994188609237,2.4
32.97754262984221,2.475
33.07892164573292,2.55
32.407190943988645,2.625
33.70618947477569,2.6999999999999997
32.35822085857673,2.775
33.34971953049542,2.85
32.56100729409828,2.925
32.40434467867441,3.0
32.018752792531075,3.0749999999999997
32.237780612542394,3.15
32.47552234757493,3.225
32.780536695411605,3.3
33.06189726720809,3.375
32.09371690639994,3.4499999999999997
32.14171555015838,3.525
31.80037052903953,3.5999999999999996
33.03940623864517,3.675
32.98996107294411,3.75
32.91277628592605,3.8249999999999997
32.46044930424671,3.9
31.9549205282278,3.9749999999999996
31.70976237667535,4.05
32.08409999056753,4.125
32.07992261051913,4.2
32.72424102010246,4.2749999999999995
31.751682617730292,4.35
32.595109655200666,4.425
31.893623741343806,4.5
31.567827717962814,4.575
31.816609263025658,4.6499999999999995
31.839303761295703,4.725
31.881018668706897,4.8
32.48616757072295,4.875
31.872034676478755,4.95
32.54293885499686,5.0249999999999995
32.1646907302358,5.1
32.30833563663953,5.175
33.21713299152042,5.25
32.918534274111806,5.325
32.41348650199212,5.3999999999999995
32.710495385658,5.475
33.119580883310306,5.55
32.227712778224266,5.625
32.5546835459332,5.7
32.84914022359993,5.7749999999999995
32.18827250441869,5.85
33.11881672881011,5.925
31.675304132169664,6.0
32.60931400296576,6.075
32.64997906619509,6.1499999999999995
32.06692147949608,6.225
31.99761608820646,6.3
33.23095813419667,6.375
32.46196603891476,6.45
32.912902392791025,6.5249999999999995
32.273134943701315,6.6
33.28926388155804,6.675
32.69635304679483,6.75
33.6392334804597,6.825
33.45484679468109,6.8999999999999995
32.87674334083302,6.975
32.791171205508846,7.05
33.4840531112407,7.125
33.19858410188989,7.199999999999999
33.14260718399323,7.2749999999999995
33.16782928295336,7.35
32.777125976969934,7.425
33.183425033256654,7.5
32.575903503714024,7.574999999999999
31.848451641144962,7.6499999999999995
32.11008162420567,7.725
32.802812525466635,7.8
32.57961302781483,7.875
33.10740764412371,7.949999999999999
33.323209862840336,8.025
32.87971089863942,8.1
33.36514062430217,8.174999999999999
32.36101420189222,8.25
33.01963605469223,8.325
34.20164772925105,8.4
33.54963673223426,8.475
33.59038871503118,8.549999999999999
33.360560543034644,8.625
33.6006166784106,8.7
32.36509668773426,8.775
33.2192160930973,8.85
32.75053726727692,8.924999999999999
33.334455929341544,9.0
33.09333523382996,9.075
33.29663005581112,9.15
33.260089296811095,9.225
33.34012681511912,9.299999999999999
33.348748442581716,9.375
32.859566519590075,9.45
32.5281021962237,9.525
31.791411991712085,9.6
31.258931141542195,9.674999999999999
31.93771366713942,9.75
31.668519947471562,9.825
31.96622527700709,9.9
31.73756629744643,9.975
31.341153060235023,10.049999999999999
32.51148376667392,10.125
31.67316149653816,10.2
31.881630399319345,10.275
31.953423476740976,10.35
31.636019774931977,10.424999999999999
31.36793147096509,10.5
31.00988839528038,10.575
31.48506176631716,10.65
31.330887957812564,10.725
31.65495932954307,10.799999999999999
31.426724989285255,10.875
31.149262166136026,10.95
31.89279494723345,11.025
31.36447395295006,11.1
31.706564438248954,11.174999999999999
30.873781094378433,11.25
31.02858265265811,11.325
31.048605868065565,11.4
31.346834803465466,11.475
30.963753494004912,11.549999999999999
30.973938905396835,11.625
31.418916828677002,11.7
32.161606841833425,11.775
32.661866996368566,11.85
32.44853895011213,11.924999999999999
32.119948620241466,12.0
31.921280640666488,12.075
31.305629592486987,12.15
31.256736515984144,12.225
31.46423229203981,12.299999999999999
31.483352698796807,12.375
31.733491238827128,12.45
31.014194759572213,12.525
31.172439651341467,12.6
30.98918411853265,12.674999999999999
30.908596829281866,12.75
30.23395972144818,12.825
31.082722408327587,12.9
30.981143005840448,12.975
30.87732725646037,13.049999999999999
30.63407903151933,13.125
30.449144238034386,13.2
30.845736807185297,13.275
31.013426538904984,13.35
30.41013290522623,13.424999999999999
30.10572803056114,13.5
29.89201248628027,13.575
29.57744704707594,13.65
30.341388632962996,13.725
29.847894648649696,13.799999999999999
30.363026522987525,13.875
29.23708748935894,13.95
29.327348509822542,14.025
30.120982561337268,14.1
30.096707062040963,14.174999999999999
30.367468990348925,14.25
30.424461098015794,14.325
30.693497289284203,14.399999999999999
31.206299199407045,14.475
31.642427881074582,14.549999999999999
31.220431295159514,14.625
31.69035952861449,14.7
30.96776933123227,14.774999999999999
30.75511705157616,14.85
31.41573738706439,14.924999999999999
30.89085643972469,15.0
31.177227717145986,15.075
30.618547278731292,15.149999999999999
30.780347559019273,15.225
31.109794386497605,15.299999999999999
30.911532589920203,15.375
30.68923720909082,15.45
31.81667311437343,15.524999999999999
31.325595866373433,15.6
31.385789828702453,15.674999999999999
32.2117908314892,15.75
31.454207436420045,15.825
