Domain,Lipid,Median_Count,Scaled_Median_Count
TM2,CDL2,16.0,2.2857142857142856
TM2,POPE,93.0,13.285714285714286
TM2,POPG,41.0,5.857142857142857
TM1,CDL2,20.5,5.125
TM1,POPE,119.0,29.75
TM1,POPG,41.0,10.25
NBD,CDL2,4.0,4.0
NBD,POPE,35.0,35.0
NBD,POPG,8.0,8.0
