Band Distance,Enrichment_Score
6.425000000000001,2.1689247923246153
13.275,1.46048908677351
20.125,1.2099053056033386
26.975,1.1011197698847763
33.825,0.9118271216935616
40.675,0.8607116734214483
47.525000000000006,0.7796444977350171
54.375,0.7048527141753489
61.22500000000001,0.6315609483845501
68.075,0.579429640026516
74.92500000000001,0.5513553679605897
81.775,0.5341119955920339
88.625,0.5160560899511504
95.47500000000001,0.519617880247319
102.32500000000002,0.5319117630035597
109.17500000000001,0.5086589528528436
116.025,0.47694600816156757
