Domain,Lipid,Median_Count,Scaled_Median_Count
Chain A TM2,CDL2,8.0,1.1428571428571428
Chain A TM2,POPE,55.0,7.857142857142857
Chain A TM2,POPG,16.0,2.2857142857142856
Chain A TM1,CDL2,4.5,1.125
Chain A TM1,POPE,57.0,14.25
Chain A TM1,POPG,28.0,7.0
Chain B TM1,CDL2,13.5,3.375
Chain B TM1,POPE,61.0,15.25
Chain B TM1,POPG,13.0,3.25
Chain A NBD,CDL2,1.0,1.0
Chain A NBD,POPE,19.0,19.0
Chain A NBD,POPG,4.0,4.0
Chain B NBD,CDL2,2.0,2.0
Chain B NBD,POPE,17.0,17.0
Chain B NBD,POPG,4.0,4.0
Chain B TM2,CDL2,8.5,1.2142857142857142
Chain B TM2,POPE,37.0,5.285714285714286
Chain B TM2,POPG,25.0,3.5714285714285716
