Band Distance,Enrichment_Score
6.425000000000001,0.7263192095507958
13.275,0.7679369388989147
20.125,0.9031341569051639
26.975,0.9674582162232919
33.825,1.0307861856034992
40.675,1.0873829813126499
47.525000000000006,1.1305330625467194
54.375,1.1769610194033255
61.22500000000001,1.2298722331508345
68.075,1.2407684362589415
74.92500000000001,1.254916104289952
81.775,1.2523689440577077
88.625,1.2495114247091559
95.47500000000001,1.2180013386697854
102.32500000000002,1.2143077797020951
109.17500000000001,1.2679197333223549
116.025,1.6114041501709266
