Domain,Lipid,Median_Count,Scaled_Median_Count
TM2,CDL2,5.0,0.625
TM2,POPE,105.0,13.125
TM2,POPG,23.0,2.875
TM1,CDL2,15.0,5.0
TM1,POPE,94.0,31.333333333333332
TM1,POPG,24.0,8.0
NBD,CDL2,3.5,3.5
NBD,POPE,36.0,36.0
NBD,POPG,9.0,9.0
